entry_ts,exit_ts,symbol,side,reason,qty,entry_price,exit_price,entry_eff,exit_eff,pnl,return_pct,hold_minutes,mfe,mae,entry_limit
2025-10-13 14:29:00-04:00,2025-10-13 14:32:00-04:00,ELBM,long,atr_trail,1,6.1733524285714285,6.053755714285715,6.183352428571428,6.043755714285715,-0.1395967142857133,-2.257621830524792,3.0,0.07664757142857148,-0.27335242857142816,
2025-10-13 15:02:00-04:00,2025-10-13 15:05:00-04:00,ELBM,long,atr_trail,1,6.593342571428571,6.721668571428571,6.603342571428571,6.7116685714285715,0.10832600000000081,1.640472212795796,3.0,0.35655742857142947,-0.10324257142857096,
2025-10-13 15:03:00-04:00,2025-10-13 15:05:00-04:00,ELBM,long,atr_trail,1,6.953685142857143,6.760840857142858,6.963685142857143,6.750840857142858,-0.2128442857142847,-3.0564892201165317,2.0,-0.023685142857143404,-0.3936851428571435,
2025-10-13 15:26:00-04:00,2025-10-13 15:29:00-04:00,ELBM,long,atr_trail,1,7.494632285714286,7.557040714285715,7.504632285714286,7.547040714285715,0.04240842857142901,0.5650966890430764,3.0,0.41536771428571395,-0.21463228571428594,
2025-10-13 15:28:00-04:00,2025-10-13 15:30:00-04:00,ELBM,long,atr_trail,1,7.914761,7.699230285714286,7.924761,7.689230285714286,-0.23553071428571393,-2.972086026136489,2.0,-0.06476100000000073,-0.7047610000000004,
2025-10-13 15:37:00-04:00,2025-10-13 15:40:00-04:00,ELBM,long,atr_trail,1,8.446016428571427,8.359511428571428,8.456016428571427,8.349511428571429,-0.10650499999999852,-1.2595174205212833,3.0,0.25398357142857186,-0.30601642857142686,
2025-10-13 10:26:00-04:00,2025-10-13 10:28:00-04:00,GWAV,long,atr_trail,1,7.853668428571428,7.707943571428571,7.863668428571428,7.6979435714285716,-0.16572485714285623,-2.107475138965942,2.0,0.146331571428572,-0.15366842857142782,
2025-10-13 18:20:00-04:00,2025-10-13 18:26:00-04:00,GWAV,long,atr_trail,1,10.99,10.943152142857143,11.0,10.933152142857143,-0.06684785714285724,-0.60770779220779,6.0,0.20999999999999908,-0.370000000000001,
2025-10-13 18:35:00-04:00,2025-10-13 18:37:00-04:00,GWAV,long,atr_trail,1,12.306425571428573,12.500706428571428,12.316425571428573,12.490706428571428,0.1742808571428558,1.4150278920789239,2.0,0.6935744285714271,-0.6964255714285734,
2025-10-13 18:37:00-04:00,2025-10-13 18:40:00-04:00,GWAV,long,atr_trail,1,12.897539857142858,12.404597,12.907539857142858,12.394597000000001,-0.5129428571428569,-3.973978487147578,3.0,0.10246014285714189,-1.1875398571428573,
2025-10-13 09:46:00-04:00,2025-10-13 09:48:00-04:00,GWH,long,atr_trail,1,6.674685714285714,6.4664,6.684685714285714,6.4564,-0.22828571428571376,-3.415055307654158,2.0,0.1753142857142853,-0.314685714285714,
2025-10-13 09:57:00-04:00,2025-10-13 09:59:00-04:00,GWH,long,atr_trail,1,7.154827571428572,6.9820021428571435,7.164827571428572,6.972002142857144,-0.19282542857142815,-2.6912780056335905,2.0,0.34517242857142794,-0.5048275714285717,
2025-10-13 10:02:00-04:00,2025-10-13 10:05:00-04:00,GWH,long,atr_trail,1,7.3856275714285715,7.116939,7.395627571428571,7.106939000000001,-0.28868857142857074,-3.9035033692591203,3.0,0.25437242857142817,-0.5756275714285719,
2025-10-13 10:33:00-04:00,2025-10-13 10:35:00-04:00,GWH,long,atr_trail,1,7.093317714285714,6.950654857142857,7.103317714285714,6.9406548571428575,-0.16266285714285633,-2.2899560977783673,2.0,-0.06331771428571376,-0.3533177142857138,
2025-10-13 10:46:00-04:00,2025-10-13 10:53:00-04:00,GWH,long,target_R_hit,1,7.003401142857143,7.76409782857143,7.013401142857143,7.75409782857143,0.7406966857142869,10.561162417875614,7.0,1.236598857142857,-0.06340114285714282,
2025-10-13 10:53:00-04:00,2025-10-13 10:55:00-04:00,GWH,long,atr_trail,1,7.704107142857143,7.672250000000001,7.714107142857142,7.662250000000001,-0.05185714285714127,-0.6722377832820037,2.0,0.5358928571428576,-0.5941071428571423,
2025-10-13 11:44:00-04:00,2025-10-13 11:56:00-04:00,GWH,long,target_R_hit,1,7.993873428571429,9.033995485714286,8.00387342857143,9.023995485714286,1.0201220571428564,12.745354686661159,12.0,1.6461265714285718,-0.3138734285714291,
2025-10-13 11:47:00-04:00,2025-10-13 11:58:00-04:00,GWH,long,atr_trail,1,8.444744857142856,9.305706428571428,8.454744857142856,9.295706428571428,0.8409615714285721,9.946622702849496,11.0,1.3852551428571438,-0.34474485714285663,
2025-10-13 11:57:00-04:00,2025-10-13 11:59:00-04:00,GWH,long,atr_trail,1,9.647399857142858,9.292870571428573,9.657399857142858,9.282870571428573,-0.374529285714285,-3.8781586271099067,2.0,0.182600142857142,-0.5872998571428578,
