symbol,live_idx,bt_idx,entry_delta_s,exit_delta_s,live_entry_ts,bt_entry_ts,live_exit_ts,bt_exit_ts,live_pnl,bt_pnl,pnl_diff,live_side,bt_side,live_qty,bt_qty,live_entry_price,bt_entry_price,live_exit_price,bt_exit_price,live_config,bt_config
GWH,14,21,69.0,87.0,2025-10-13 10:54:09-04:00,2025-10-13 10:53:00-04:00,2025-10-13 10:56:27-04:00,2025-10-13 10:55:00-04:00,-0.7626999999999997,-0.05185714285714127,-0.7108428571428584,long,long,1.0,1,7.7927,7.704107142857143,7.03,7.672250000000001,<NA>,<NA>
AQMS,15,23,9.0,190.0,2025-10-13 10:58:09-04:00,2025-10-13 10:58:00-04:00,2025-10-13 11:02:10-04:00,2025-10-13 10:59:00-04:00,0.05690000000000062,0.8091172571428586,-0.752217257142858,long,long,1.0,1,8.76,8.88413542857143,8.8169,9.713252685714288,<NA>,<NA>
AQMS,16,24,12.0,71.0,2025-10-13 10:59:12-04:00,2025-10-13 10:59:00-04:00,2025-10-13 11:02:11-04:00,2025-10-13 11:01:00-04:00,-1.1373999999999995,-0.2913949999999996,-0.8460049999999999,long,long,1.0,1,9.7799,9.595178142857142,8.6425,9.323783142857142,<NA>,<NA>
ELBM,18,25,71.0,131.0,2025-10-13 11:05:11-04:00,2025-10-13 11:04:00-04:00,2025-10-13 11:13:11-04:00,2025-10-13 11:11:00-04:00,-0.0956999999999999,-0.22553614285714296,0.12983614285714307,long,long,1.0,1,5.8101,5.944571142857143,5.7144,5.739034999999999,<NA>,<NA>
CHNR,19,26,71.0,31.0,2025-10-13 11:15:11-04:00,2025-10-13 11:14:00-04:00,2025-10-13 11:15:31-04:00,2025-10-13 11:15:00-04:00,-0.47000000000000064,-0.6238887142857141,0.1538887142857135,long,long,1.0,1,7.69,7.863888714285714,7.22,7.26,<NA>,<NA>
AQMS,20,28,11.0,38.0,2025-10-13 11:17:11-04:00,2025-10-13 11:17:00-04:00,2025-10-13 11:18:22-04:00,2025-10-13 11:19:00-04:00,-0.658100000000001,-0.4579978571428569,-0.20010214285714412,long,long,1.0,1,10.1981,10.978379,9.54,10.540381142857143,<NA>,<NA>
AQMS,22,31,9.0,71.0,2025-10-13 11:38:09-04:00,2025-10-13 11:38:00-04:00,2025-10-13 11:41:11-04:00,2025-10-13 11:40:00-04:00,-0.39000000000000057,-0.5278892857142861,0.1378892857142855,long,long,1.0,1,11.76,12.050040714285714,11.37,11.542151428571428,<NA>,<NA>
CHNR,24,32,70.0,57.0,2025-10-13 11:44:10-04:00,2025-10-13 11:43:00-04:00,2025-10-13 11:45:57-04:00,2025-10-13 11:45:00-04:00,-0.38370000000000015,0.0011188571428570881,-0.38481885714285724,long,long,1.0,1,7.8638,7.893365428571428,7.4801,7.914484285714285,<NA>,<NA>
GWH,25,33,71.0,289.0,2025-10-13 11:45:11-04:00,2025-10-13 11:44:00-04:00,2025-10-13 11:51:11-04:00,2025-10-13 11:56:00-04:00,0.8409999999999993,1.0201220571428564,-0.17912205714285712,long,long,1.0,1,7.779,7.993873428571429,8.62,9.033995485714286,<NA>,<NA>
GWH,26,34,71.0,50.0,2025-10-13 11:48:11-04:00,2025-10-13 11:47:00-04:00,2025-10-13 11:57:10-04:00,2025-10-13 11:58:00-04:00,1.6620000000000008,0.8409615714285721,0.8210384285714287,long,long,1.0,1,8.1465,8.444744857142856,9.8085,9.305706428571428,<NA>,<NA>
GWH,27,35,70.0,192.0,2025-10-13 11:58:10-04:00,2025-10-13 11:57:00-04:00,2025-10-13 12:02:12-04:00,2025-10-13 11:59:00-04:00,-0.39119999999999955,-0.374529285714285,-0.01667071428571454,long,long,1.0,1,9.3562,9.647399857142858,8.965,9.292870571428573,<NA>,<NA>
STI,28,36,70.0,131.0,2025-10-13 12:02:10-04:00,2025-10-13 12:01:00-04:00,2025-10-13 12:09:11-04:00,2025-10-13 12:07:00-04:00,-1.4549999999999983,-0.634838285714288,-0.8201617142857103,long,long,1.0,1,17.52,17.442569,16.065,16.827730714285714,<NA>,<NA>
LITM,29,37,69.0,130.0,2025-10-13 12:04:09-04:00,2025-10-13 12:03:00-04:00,2025-10-13 12:07:10-04:00,2025-10-13 12:05:00-04:00,-0.33999999999999986,-0.27066928571428495,-0.06933071428571491,long,long,1.0,1,7.1,7.3,6.76,7.0493307142857144,<NA>,<NA>
GWH,30,39,84.0,182.0,2025-10-13 12:31:24-04:00,2025-10-13 12:30:00-04:00,2025-10-13 12:40:02-04:00,2025-10-13 12:37:00-04:00,-0.49129999999999896,0.30843714285714263,-0.7997371428571416,long,long,1.0,1,10.6,9.99575142857143,10.1087,10.324188571428571,<NA>,<NA>
STI,31,41,25.0,362.0,2025-10-13 12:33:25-04:00,2025-10-13 12:33:00-04:00,2025-10-13 12:41:02-04:00,2025-10-13 12:35:00-04:00,-0.6298999999999992,-0.6278278571428615,-0.0020721428571377487,long,long,1.0,1,18.96,19.293693,18.3301,18.685865142857143,<NA>,<NA>
GWH,33,42,84.0,124.0,2025-10-13 12:37:24-04:00,2025-10-13 12:36:00-04:00,2025-10-13 12:40:04-04:00,2025-10-13 12:38:00-04:00,-0.31569999999999965,-0.37263285714285743,0.056932857142857785,long,long,1.0,1,10.4752,10.606129142857142,10.1595,10.253496285714284,<NA>,<NA>
STI,34,44,79.0,242.0,2025-10-13 12:49:19-04:00,2025-10-13 12:48:00-04:00,2025-10-13 13:05:02-04:00,2025-10-13 13:01:00-04:00,4.349999999999998,1.4041187142857119,2.945881285714286,long,long,1.0,1,20.67,20.628284857142855,25.02,22.05240357142857,<NA>,<NA>
GWH,36,46,81.0,261.0,2025-10-13 12:58:21-04:00,2025-10-13 12:57:00-04:00,2025-10-13 13:03:21-04:00,2025-10-13 12:59:00-04:00,-1.2876999999999992,-0.667350714285714,-0.6203492857142852,long,long,1.0,1,12.985,13.491285571428572,11.6973,12.843934857142857,<NA>,<NA>
BLBX,37,47,82.0,360.0,2025-10-13 13:05:22-04:00,2025-10-13 13:04:00-04:00,2025-10-13 13:12:00-04:00,2025-10-13 13:06:00-04:00,0.10929999999999929,-0.1924592857142855,0.3017592857142848,long,long,1.0,1,10.0907,10.553277857142858,10.2,10.380818571428572,<NA>,<NA>
BLBX,38,49,82.0,24.0,2025-10-13 13:32:22-04:00,2025-10-13 13:31:00-04:00,2025-10-13 13:36:24-04:00,2025-10-13 13:36:00-04:00,0.4399999999999995,0.22047485714285742,0.21952514285714209,long,long,1.0,1,11.06,11.223250142857143,11.5,11.463725,<NA>,<NA>
BLBX,39,50,82.0,745.0,2025-10-13 13:37:22-04:00,2025-10-13 13:36:00-04:00,2025-10-13 13:52:25-04:00,2025-10-13 13:40:00-04:00,-0.20449999999999946,-0.2493392857142851,0.04483928571428564,long,long,1.0,1,11.5,11.66,11.2955,11.430660714285715,<NA>,<NA>
STI,40,53,277.0,860.0,2025-10-13 14:15:23-04:00,2025-10-13 14:20:00-04:00,2025-10-13 14:39:20-04:00,2025-10-13 14:25:00-04:00,-1.8389999999999986,-1.374082142857148,-0.4649178571428507,long,long,1.0,1,25.839,27.0,24.0,25.645917857142855,<NA>,<NA>
ELBM,41,57,6.0,121.0,2025-10-13 15:03:06-04:00,2025-10-13 15:03:00-04:00,2025-10-13 15:07:01-04:00,2025-10-13 15:05:00-04:00,-0.11840000000000028,-0.2128442857142847,0.09444428571428443,long,long,1.0,1,6.83,6.953685142857143,6.7116,6.760840857142858,<NA>,<NA>
ELBM,43,59,42.0,41.0,2025-10-13 15:27:18-04:00,2025-10-13 15:28:00-04:00,2025-10-13 15:30:41-04:00,2025-10-13 15:30:00-04:00,-0.4683999999999999,-0.23553071428571393,-0.232869285714286,long,long,1.0,1,7.7285,7.914761,7.2601,7.699230285714286,<NA>,<NA>
ELBM,45,60,66.0,122.0,2025-10-13 15:38:06-04:00,2025-10-13 15:37:00-04:00,2025-10-13 15:42:02-04:00,2025-10-13 15:40:00-04:00,-0.3799000000000001,-0.10650499999999852,-0.2733950000000016,long,long,1.0,1,8.26,8.446016428571427,7.8801,8.359511428571428,<NA>,<NA>
GWAV,46,91,66.0,360.0,2025-10-14 08:55:06-04:00,2025-10-14 08:54:00-04:00,2025-10-14 09:03:00-04:00,2025-10-14 08:57:00-04:00,0.4299999999999997,-0.4339678571428607,0.8639678571428604,long,long,1.0,1,18.65,18.846708142857143,19.08,18.432740285714285,<NA>,<NA>
GWAV,47,93,6.0,171.0,2025-10-14 09:00:06-04:00,2025-10-14 09:00:00-04:00,2025-10-14 09:04:51-04:00,2025-10-14 09:02:00-04:00,-1.065100000000001,-0.6238871428571464,-0.44121285714285463,long,long,1.0,1,19.66,20.012248142857143,18.5949,19.408361,<NA>,<NA>
GWAV,49,96,66.0,65.0,2025-10-14 09:42:06-04:00,2025-10-14 09:41:00-04:00,2025-10-14 09:53:05-04:00,2025-10-14 09:52:00-04:00,3.0058000000000007,2.9951965714285684,0.01060342857143226,long,long,1.0,1,19.36,19.676919285714288,22.3658,22.69211585714286,<NA>,<NA>
GWAV,50,98,64.0,125.0,2025-10-14 09:53:04-04:00,2025-10-14 09:52:00-04:00,2025-10-14 09:56:05-04:00,2025-10-14 09:54:00-04:00,-0.08530000000000015,-0.23508214285714502,0.14978214285714486,long,long,1.0,1,22.56,22.63,22.4747,22.414917857142857,<NA>,<NA>
GWAV,51,119,64.0,420.0,2025-10-14 12:49:04-04:00,2025-10-14 12:48:00-04:00,2025-10-14 12:56:00-04:00,2025-10-14 12:49:00-04:00,-0.19620000000000104,-0.25819214285714764,0.061992142857146604,long,long,1.0,1,16.9652,17.228192142857143,16.769,16.99,<NA>,<NA>
CRMLW,52,123,70.0,78.0,2025-10-14 14:07:10-04:00,2025-10-14 14:06:00-04:00,2025-10-14 14:11:18-04:00,2025-10-14 14:10:00-04:00,0.4399999999999977,0.8006088571428513,-0.3606088571428536,long,long,1.0,1,19.885,19.76466542857143,20.325,20.585274285714284,<NA>,<NA>
GWAV,53,124,71.0,756.0,2025-10-14 14:10:11-04:00,2025-10-14 14:09:00-04:00,2025-10-14 14:22:36-04:00,2025-10-14 14:10:00-04:00,-0.5165999999999986,-0.42930928571428595,-0.08729071428571267,long,long,1.0,1,16.3966,16.704309285714285,15.88,16.295,<NA>,<NA>
CRMLW,54,125,69.0,2.0,2025-10-14 14:11:09-04:00,2025-10-14 14:10:00-04:00,2025-10-14 14:12:02-04:00,2025-10-14 14:12:00-04:00,0.030100000000000904,-0.3261542857142885,0.3562542857142894,long,long,1.0,1,20.07,20.84566057142857,20.1001,20.539506285714285,<NA>,<NA>
AQMS,55,127,50.0,42.0,2025-10-14 14:25:10-04:00,2025-10-14 14:26:00-04:00,2025-10-14 14:37:42-04:00,2025-10-14 14:37:00-04:00,4.755000000000003,1.9468813714285744,2.808118628571428,long,long,1.0,1,24.455,25.359332285714288,29.21,27.326213657142866,<NA>,<NA>
AQMS,57,128,72.0,121.0,2025-10-14 14:38:12-04:00,2025-10-14 14:37:00-04:00,2025-10-14 14:41:01-04:00,2025-10-14 14:39:00-04:00,-0.3935999999999993,-0.9346121428571443,0.541012142857145,long,long,1.0,1,27.2986,29.21,26.905,28.29538785714286,<NA>,<NA>
GWAV,58,133,13.0,114.0,2025-10-14 14:43:13-04:00,2025-10-14 14:43:00-04:00,2025-10-14 14:45:54-04:00,2025-10-14 14:44:00-04:00,-0.7136999999999993,-0.03458500000000342,-0.6791149999999959,long,long,1.0,1,17.1437,17.104585,16.43,17.09,<NA>,<NA>
GWAV,59,134,17.0,54.0,2025-10-14 14:44:17-04:00,2025-10-14 14:44:00-04:00,2025-10-14 14:45:54-04:00,2025-10-14 14:45:00-04:00,-0.6676000000000002,-1.0951397142857182,0.427539714285718,long,long,1.0,1,17.3476,17.505239714285715,16.68,16.4301,<NA>,<NA>
AQMS,61,136,69.0,491.0,2025-10-14 15:03:09-04:00,2025-10-14 15:02:00-04:00,2025-10-14 15:15:11-04:00,2025-10-14 15:07:00-04:00,2.3651000000000053,-0.8234640000000013,3.1885640000000066,long,long,1.0,1,32.245,31.713374714285717,34.6101,30.90991071428572,<NA>,<NA>
AQMS,62,139,9.0,12.0,2025-10-14 15:12:09-04:00,2025-10-14 15:12:00-04:00,2025-10-14 15:15:12-04:00,2025-10-14 15:15:00-04:00,0.5490999999999957,0.4863627142857183,0.06273728571427739,long,long,1.0,1,34.49,35.47338871428571,35.0391,35.979751428571426,<NA>,<NA>
AQMS,64,140,74.0,10.0,2025-10-14 15:16:14-04:00,2025-10-14 15:15:00-04:00,2025-10-14 15:17:10-04:00,2025-10-14 15:17:00-04:00,-0.030000000000001137,-1.612852142857136,1.582852142857135,long,long,1.0,1,34.31,37.605338857142854,34.28,36.012486714285714,<NA>,<NA>
GWAV,65,142,10.0,132.0,2025-10-14 15:26:10-04:00,2025-10-14 15:26:00-04:00,2025-10-14 15:30:12-04:00,2025-10-14 15:28:00-04:00,-0.7381000000000029,-0.823597142857146,0.08549714285714316,long,long,1.0,1,20.8881,21.815682857142857,20.15,21.012085714285714,<NA>,<NA>
AQMS,67,144,71.0,250.0,2025-10-14 15:35:11-04:00,2025-10-14 15:34:00-04:00,2025-10-14 15:41:10-04:00,2025-10-14 15:37:00-04:00,0.03999999999999915,-0.5877522857142807,0.6277522857142799,long,long,1.0,1,35.935,37.02764442857143,35.975,36.45989214285714,<NA>,<NA>
AQMS,68,145,69.0,398.0,2025-10-14 15:38:09-04:00,2025-10-14 15:37:00-04:00,2025-10-14 15:45:38-04:00,2025-10-14 15:39:00-04:00,-2.3299999999999983,-1.8698664285714273,-0.46013357142857103,long,long,1.0,1,36.04,38.752891285714284,33.71,36.90302485714285,<NA>,<NA>
AWX,69,147,70.0,130.0,2025-10-14 16:04:10-04:00,2025-10-14 16:03:00-04:00,2025-10-14 16:07:10-04:00,2025-10-14 16:05:00-04:00,-0.4093,-0.42171499999999984,0.012414999999999843,long,long,1.0,1,6.7498,6.89689,6.3405,6.495175,<NA>,<NA>
SDOT,71,172,5.0,1.0,2025-10-15 11:39:05-04:00,2025-10-15 11:39:00-04:00,2025-10-15 11:40:01-04:00,2025-10-15 11:40:00-04:00,-0.34140000000000015,-0.44475642857142894,0.1033564285714288,long,long,1.0,1,10.365,10.444756428571429,10.0236,10.02,<NA>,<NA>
OMER,73,173,65.0,75.0,2025-10-15 11:51:05-04:00,2025-10-15 11:50:00-04:00,2025-10-15 11:53:15-04:00,2025-10-15 11:52:00-04:00,-0.25,-0.16399357142857163,-0.08600642857142837,long,long,1.0,1,10.38,10.433121285714286,10.13,10.289127714285714,<NA>,<NA>
SDOT,74,174,66.0,96.0,2025-10-15 12:39:06-04:00,2025-10-15 12:38:00-04:00,2025-10-15 12:40:36-04:00,2025-10-15 12:39:00-04:00,-0.6699000000000002,-0.49466471428571523,-0.17523528571428493,long,long,1.0,1,10.5299,10.683864714285715,9.86,10.2092,<NA>,<NA>
OMER,75,176,5.0,360.0,2025-10-15 12:43:05-04:00,2025-10-15 12:43:00-04:00,2025-10-15 12:45:00-04:00,2025-10-15 12:51:00-04:00,0.19129999999999825,0.20812500000000078,-0.016825000000002532,long,long,1.0,1,10.8388,10.853406428571429,11.0301,11.081531428571429,<NA>,<NA>
OMER,76,177,55.0,125.0,2025-10-15 12:44:05-04:00,2025-10-15 12:45:00-04:00,2025-10-15 12:53:05-04:00,2025-10-15 12:51:00-04:00,0.05509999999999948,-0.14271528571428327,0.19781528571428275,long,long,1.0,1,10.7299,11.204246714285713,10.785,11.081531428571429,<NA>,<NA>
OMER,78,178,67.0,125.0,2025-10-15 13:25:07-04:00,2025-10-15 13:24:00-04:00,2025-10-15 13:28:05-04:00,2025-10-15 13:26:00-04:00,-0.245000000000001,-0.1105444285714281,-0.1344555714285729,long,long,1.0,1,11.005,10.933253714285714,10.76,10.842709285714285,<NA>,<NA>
OMER,79,179,66.0,126.0,2025-10-15 13:42:06-04:00,2025-10-15 13:41:00-04:00,2025-10-15 13:46:06-04:00,2025-10-15 13:44:00-04:00,-0.21969999999999956,-0.1799300000000006,-0.03976999999999897,long,long,1.0,1,11.16,11.293358142857143,10.9403,11.133428142857142,<NA>,<NA>
RYOJ,82,184,88.0,156.0,2025-10-15 17:27:28-04:00,2025-10-15 17:26:00-04:00,2025-10-15 17:32:36-04:00,2025-10-15 17:30:00-04:00,-0.3699999999999992,-0.3952742857142848,0.025274285714285583,long,long,1.0,1,7.27,7.507682857142857,6.9,7.132408571428572,<NA>,<NA>
RYOJ,83,185,89.0,61.0,2025-10-15 18:57:29-04:00,2025-10-15 18:56:00-04:00,2025-10-15 18:59:01-04:00,2025-10-15 18:58:00-04:00,-0.12989999999999924,-0.02253342857142826,-0.10736657142857098,long,long,1.0,1,7.8599,8.003062,7.73,8.000528571428571,<NA>,<NA>
AQMS,84,188,70.0,241.0,2025-10-16 08:31:10-04:00,2025-10-16 08:30:00-04:00,2025-10-16 08:36:01-04:00,2025-10-16 08:32:00-04:00,-1.4599999999999973,-0.7310644285714325,-0.7289355714285648,long,long,1.0,1,19.06,19.446745857142858,17.6,18.73568142857143,<NA>,<NA>
