,ticker,price,trailing_eps,pe,future_price,upside,expected_5y_cagr,avg_roe,avg_retained,eps_cagr,percent_growth,equity,long_term_debt,debt_to_equity,avg_eps,sd_eps,earnings_vol,conservatively_financed,shares_trend,buyback_flag,quality_pass,score
221,APO,138.02999877929688,7.39,18.677943001258036,299.41884413901016,1.1692302165253659,0.16751139786420222,0.2402289287606204,0.8540136423957909,0.0031775066012014186,0.2051587824596964,15855000000.0,10588000000.0,0.6678019552191737,4.9525,4.8634163660949286,0.9820123909328479,No,Distributing More,0.0,False,0.5909362549800797
222,DOW,25.040000915527344,1.57,15.949045169125696,86.14162344526731,2.440160554940346,0.28031178288402536,0.15261159310078537,0.493632376244559,-0.010845909966026968,0.07533402334480843,17355000000.0,14772000000.0,0.8511668107173725,3.758,3.0459835849853163,0.8105331519386153,No,Distributing More,0.0,False,0.5888446215139442
223,NXPI,218.82000732421875,9.84,22.237805622379955,428.022304392784,0.956047390852139,0.14360454980816462,0.25269557131641546,0.6498320314353008,1.682627512848057,0.16420967644325019,9183000000.0,10354000000.0,1.1275182402265056,7.6819999999999995,4.001066857726824,0.5208366125653247,No,Buy Back,1.0,False,0.5853585657370519
224,DHR,190.0500030517578,5.33,35.656660985320414,444.1867050440258,1.3372096706731278,0.18505780487357937,0.11402086543214358,0.8951766780045075,0.017636569042729366,0.10206881954074527,49543000000.0,15500000000.0,0.31285953616050705,7.062,1.906676689950344,0.269991035110499,Yes,Distributing More,0.0,False,0.5846613545816732
225,K,79.43000030517578,3.92,20.26275517989178,169.57811319028843,1.1349378388361715,0.163796500401717,0.3170355504983659,0.6096662161624693,0.018001225086024863,0.1932858644613242,3775000000.0,4998000000.0,1.3239735099337748,3.504,0.6217587956756222,0.1774425786745497,No,Distributing More,0.0,False,0.5828685258964144
226,NSC,274.7200012207031,11.58,23.723661590734295,525.3620238401677,0.9123544754868615,0.13844926045505646,0.18788547037413514,0.7067462654313126,0.09738064167940519,0.13278735451572554,14306000000.0,16651000000.0,1.1639172375227178,10.890945599999998,2.5120918752960932,0.2306587478773279,No,Buy Back,1.0,False,0.5815737051792831
227,PTC,205.11000061035156,3.14,65.32165624533489,436.9654364161565,1.1303955687965783,0.1633008623141079,0.13399583842363888,1.0,0.29110868086971453,0.13399583842363888,3214398000.0,1227072000.0,0.38174239779890357,2.618,0.9926812177129172,0.3791754078353389,No,Distributing More,0.0,False,0.5802788844621514
228,NDAQ,93.94999694824219,1.94,48.42783347847536,220.31426789690823,1.3450162326059591,0.18584839648296891,0.14225342484864636,0.74536749461324,0.006549138432040191,0.10603107887958836,11191000000.0,9081000000.0,0.8114556339916004,2.1186666,0.1900712388086109,0.08971267060546992,No,Distributing More,0.0,False,0.5773904382470119
229,A,123.23999786376953,4.44,27.756756275623765,209.35577878733895,0.6987648686813714,0.11179996030378958,0.1965724358998749,0.692629255621396,0.1749158490675946,0.13615181995301492,5898000000.0,3345000000.0,0.5671414038657172,3.832,0.7650202611695981,0.19963994289394524,No,Buy Back,1.0,False,0.5772908366533865
230,KR,68.29000091552734,3.7,18.45675700419658,114.17114562912734,0.671857432984275,0.10825537956007447,0.23529576864142587,0.7636479132271774,0.028237485694651232,0.17968312271420958,8285000000.0,15805000000.0,1.907664453832227,3.06,0.4935990275517163,0.16130687174892688,No,Buy Back,1.0,False,0.5764940239043825
