symbol,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,sector,revenue_growth,eps_growth,revenue_ttm,gross_margin,gross_margin_trend,fcf_ttm,fcf_margin,fcf_yield,net_debt,net_debt_to_ebitda,ps_ratio,ev_to_ebitda,inst_percent,inst_trending_up,dilution_rate,market_rel_strength,sector_rel_strength
IRM,88.61,89.9,87.1,86.48620000000001,95.0108,2.537535714285716,175530378.9395,0.9112448602462405,18.06749884419788,-0.03390754470126467,0.05904147245129665,-0.11804518761819449,Real Estate,,-0.19999999999999987,6639849000.0,0.5485193772508071,-0.010626098639826553,-1179168000.0,-0.1775895807269111,-0.04501984025056233,18281850000.0,8.183712896472763,3.94469593269365,19.90841936690643,0.88178,True,,-0.13568148148755288,-0.11993607446078071
ISRG,478.88,499.0,476.79,555.3359,516.36,14.778921428571433,1203349537.9815,1.6891333021558717,21.376502265712226,-0.0879171110772512,-0.15448991842932303,-0.12700756539969005,Healthcare,,0.15104166666666669,9612000000.0,0.663606243263742,0.00014439708693847475,2271300000.0,0.23629837702871412,0.01323083062892833,,,17.859678175613816,48.30571492374963,0.88999003,True,,-0.14464385926904844,-0.17838902619014643
IT,160.16,162.0,139.18,234.96259999999998,301.28785,12.924214285714282,290330096.924,5.27144058436406,72.5758120580127,-0.30965517241379314,-0.33091030622049544,-0.32456140350877194,Technology,,-0.9080234833659492,6459775000.0,0.6888480334262423,0.008896886749651611,1215925000.0,0.18823024021734502,0.10024242500939805,1325846000.0,1.009067415748945,1.8777502659148344,10.240781026944322,1.07861,True,,-0.3421976973781303,-0.32298794463711283
ITT,185.94,188.84,183.29,179.5018,167.8265,4.211785714285712,139199514.0635,1.2797347351110884,5.6477393819455,0.016287713161346584,0.03645484949832767,-0.013476230899830188,Industrials,,0.045161290322580684,3813500000.0,0.3555199679711741,0.007631656801967535,546500000.0,0.14330667365936803,0.0341599206884375,567100000.0,0.69557220931965,4.195169976137406,20.31814222271624,0.87798,True,,-0.031112524769188576,-0.13436936772651376
ITW,278.91,282.8799,263.46,253.7448,252.43335,5.7502,379770324.2415,2.469550927478928,1.4033870911294848,0.07816305230198317,0.11747265515445338,0.13812943768872943,Industrials,,0.1062992125984252,15883000000.0,0.4449371766444937,0.007632238004957992,2845000000.0,0.17912233205313857,0.03499287467632174,8018000000.0,1.7400173611111112,5.118823009255179,19.38373825,0.84916997,True,,0.12049314381937104,0.017236300862045875
IVZ,26.53,27.67,25.785,26.787599999999998,21.204700000000003,1.1372142857142857,181009544.065,1.062000620516144,10.401891252955076,-0.02319587628865971,-0.05788352272727271,0.1352160890029952,Financial Services,,-7.921052631578947,6278100000.0,0.34168495488905143,-0.01645992994456852,1325700000.0,0.2111626128924356,0.11226835250868551,100800000.0,0.08677685950413223,1.8808738898711395,10.252336749311295,0.96209997,True,,0.11757979513363681,0.08782077174150951
J,132.91,136.99,130.52,136.2352,139.48265,3.2797071428571423,100914377.47299999,1.8950989614182259,21.093564473996675,-0.028222563427652392,-0.04284891257381551,-0.14795820244887503,Industrials,,9.363636363636363,12029783000.0,0.24310603668749944,-0.006814997157313901,607472000.0,0.05049733648562073,0.03848912686778557,1474409000.0,1.1655176554041038,1.3119896603288688,13.641911886796004,0.91297996,True,,-0.16559449631823342,-0.2688513392755586
JAZZ,166.84,169.51,165.15,168.9761,132.969375,4.766064285714283,194122716.869,0.39643953788140146,8.82561888627794,-0.006017277330950144,-0.043293766844429094,0.21585774668415691,Healthcare,,0.3118971061093248,4157833000.0,0.885552616225634,0.0008836306203220401,1239025000.0,0.29799777913158126,0.12221529844604902,4102455000.0,2.55121462356517,2.4383017749871145,8.855816491363559,1.03356,True,,0.19822145281479853,0.16447628589370053
JBHT,220.61,220.69,211.245,196.26390000000004,158.287325,5.81312857142857,238059064.62650004,1.7320957238559826,0.03624994335945629,0.08739156151419558,0.0920205920205921,0.2958002936857562,Industrials,,0.6239316239316239,12048818000.0,0.13838789844531277,0.009762772852195956,789657000.0,0.06553812996428364,0.037591760920143075,1549564000.0,0.9812479315805971,1.7434173967936109,14.283190112049466,0.78186995,True,,0.27816399981639783,0.17490715685907265
JBL,245.63,253.0,239.8,228.1548,206.6934,9.780685714285719,260004227.613,0.854891576004917,4.813020732416204,0.013826977051345501,0.0993107769423558,0.1259683703873482,Technology,,0.27358490566037735,31113000000.0,0.0893437688139675,0.00017915028867258875,1185000000.0,0.038086973290907336,0.04516191151247173,1796000000.0,0.784622127660907,0.8433428084723428,12.24767391168682,0.9918,True,,0.10833207651798982,0.12754182925900734
