ticker,equity,earnings,long_term_debt,Concervatively_Financed,Average Annual Compounding Rate,Average Annual Compounding Years,SD of EPS,Shares Outstanding Trend,Percent Rate of Return from Retained Earnings,Average Return on Equity,share_price_for_7_percent_gov_bond,Estimated Initial Return Rate,Percent Annual Growth Rate,Future Equity Per Share,Future Earnings Per Share,Future Stock Price Based On Pe
NI,7783500000.0,-967000000.0,11055500000.0,No,-2.626056586716388,3,0.7914030262767511,Stagnant,1.913978494623655,nan,22.71428571428571,0.04753363120283161,nan,nan,nan,nan
NDSN,2598060000.0,3989353000.0,1621394000.0,Maybe,0.3026143879542444,3,1.8174363812799608,Stagnant,0.19849482596425205,nan,121.99999999999997,0.03459731051166397,nan,nan,nan,nan
NSC,12781000000.0,10695000000.0,17175000000.0,No,0.09119751813602646,3,2.7820645657471723,Stagnant,0.002232917558592187,nan,114.85714285714283,0.03180128062289559,nan,nan,nan,nan
NTRS,11013000000.0,14233800000.0,13406000000.0,No,-0.002265586701626391,3,0.7852825924468211,Stagnant,-0.03147699757869254,nan,72.71428571428571,0.05717816436692092,nan,nan,nan,nan
NOC,14795000000.0,14773000000.0,13786000000.0,Maybe,0.14766396075892663,3,11.653679676394063,Stagnant,-0.06717054736072166,nan,193.85714285714283,0.026126801858493958,nan,nan,nan,nan
NCLH,300807000.0,-6900137000.0,12314147000.0,No,-0.6168214491130962,3,6.237168828883823,Stagnant,-0.48761329305135953,nan,5.571428571428571,0.022621810045111452,nan,nan,nan,nan
NRG,2256000000.0,820000000.0,10133000000.0,No,0.5518607232632989,3,3.7200033602135356,Stagnant,-0.33167495854063017,nan,-16.0,-0.014260249388137915,nan,nan,nan,nan
NUE,20940634000.0,28762045000.0,6459984000.0,Yes,2.88996924596147,3,9.873657820179915,Stagnant,0.24078254326561327,nan,257.85714285714283,0.1294463545895644,nan,nan,nan,nan
NVDA,42978000000.0,29817000000.0,8459000000.0,Yes,2.17487967141633,3,0.42381988730473713,Stagnant,0.5460090161760807,nan,17.214285714285715,0.011153276469722978,nan,nan,nan,nan
NVR,4364725000.0,13365025000.0,913027000.0,Yes,0.2904576669092117,3,113.27783256224494,Stagnant,0.15403436682853935,nan,7021.714285714284,0.05402220752005722,nan,nan,nan,nan
NXPI,8644000000.0,-2793000000.0,10175000000.0,No,11.975358530189439,3,4.307594311213626,Stagnant,0.6121274882061903,nan,154.7142857142857,0.04585679842472078,nan,nan,nan,nan
ORLY,-1739278000.0,-3131532000.0,5570125000.0,No,0.1823512508470979,3,5.4285495300310185,Stagnant,0.11795112781954886,nan,554.2857142857142,0.03405659627330257,nan,nan,nan,nan
OXY,21963000000.0,19626000000.0,17945000000.0,Maybe,1.832503112962132,3,11.069162965192987,Stagnant,236.4444444444448,nan,60.28571428571428,0.07855547103698977,nan,nan,nan,nan
ODFL,4257811000.0,4003956000.0,59977000.0,Yes,0.28706082173873465,3,1.2656470677088458,Stagnant,0.16511605455128892,nan,80.92857142857142,0.03040957756275627,nan,nan,nan,nan
OMC,3616300000.0,10571500000.0,4889100000.0,No,0.18824993658041603,3,1.0052953546097785,Stagnant,0.19504876219054768,nan,99.71428571428571,0.06990485835419478,nan,nan,nan,nan
ON,7782600000.0,6548100000.0,2542600000.0,Yes,1.3883709687509436,3,1.7662672504465455,Distributing More,0.36290322580645157,0.6201324798556365,72.42857142857143,0.07241822375800577,0.6201324798556365,140.96064317906126,87.41427321667678,1946.480262345266
OKE,16484000000.0,868000000.0,21183000000.0,No,0.6460015141353169,3,1.4512925273699993,Stagnant,-4.423913043478259,nan,78.42857142857143,0.05974534809517539,nan,nan,nan,nan
ORCL,8704000000.0,-22628000000.0,76264000000.0,No,0.0036497439402420895,3,0.8077244270170364,Stagnant,-0.09518477043673014,nan,54.57142857142856,0.026566521860797686,nan,nan,nan,nan
OTIS,-4924000000.0,-2005000000.0,6866000000.0,No,0.18801682904564485,3,0.480364444979018,Stagnant,0.17828418230563006,nan,48.857142857142854,0.03706111882575448,nan,nan,nan,nan
PCAR,15878800000.0,15780300000.0,9165600000.0,Maybe,0.5234841958348272,3,2.4060434643252497,Stagnant,0.6079949918752402,nan,125.4285714285714,0.09448988563297617,nan,nan,nan,nan
PKG,3997300000.0,3447200000.0,2472200000.0,Maybe,0.2810701341545238,3,2.2322116275120507,Stagnant,0.22578655151141264,nan,121.7142857142857,0.041846757095224285,nan,nan,nan,nan
PANW,1748400000.0,-1227400000.0,nan,No,-0.7350629861108692,3,1.187833052008783,Distributing More,-1.1285714285714286,-2.9708489166099508,20.71428571428571,0.004202898550724638,-2.9708489166099508,-168.62964971339346,500.97321215935045,-40122.22700077293
PARA,22526000000.0,13829000000.0,14601000000.0,Maybe,-0.5393120337804486,3,2.9607811469272765,Stagnant,-0.5985489721886337,nan,-14.571428571428571,-0.0981713153316221,nan,nan,nan,nan
PH,12071972000.0,19104599000.0,7157034000.0,Maybe,0.2610660548775987,3,2.7241604211206063,Stagnant,0.2197943444730077,nan,nan,nan,nan,nan,nan,nan
PAYX,3801000000.0,2213000000.0,798600000.0,Yes,0.1271589270305176,3,0.5424654366869839,Stagnant,0.46323529411764724,nan,nan,nan,nan,nan,nan,nan
PAYC,1303036000.0,1469981000.0,nan,No,0.33704116147755,3,1.316650580070506,Stagnant,0.22028985507246376,nan,84.42857142857142,0.037828843126302594,nan,nan,nan,nan
PYPL,21051000000.0,23200000000.0,9676000000.0,Maybe,0.13883424694660826,3,0.6855289928223313,Stagnant,0.020642201834862386,nan,54.99999999999999,0.05351681775568122,nan,nan,nan,nan
PNR,3217100000.0,1866200000.0,1988300000.0,Maybe,0.23961191983665672,3,0.5977666768899049,Stagnant,0.18202247191011237,nan,53.857142857142854,0.044295617118600646,nan,nan,nan,nan
PEP,18503000000.0,70035000000.0,37595000000.0,No,0.0876491654192461,3,0.6160560417577184,Stagnant,0.24075998946070082,nan,94.34394285714285,0.0372186424094577,nan,nan,nan,nan
PFE,89014000000.0,118353000000.0,60499000000.0,Maybe,0.25329829833843437,3,1.9997312319409326,Stagnant,-0.25102847295103126,nan,5.428571428571428,0.01330532237765437,nan,nan,nan,nan
PCG,25040000000.0,-5321000000.0,50975000000.0,No,-6.651526251526252,3,0.8542101614942309,Stagnant,2.4044943820224716,nan,15.571428571428571,0.052861297557567105,nan,nan,nan,nan
PM,-11225000000.0,34090000000.0,41243000000.0,No,-0.003109116433146227,3,0.37083520598778125,Stagnant,-0.06965174129353263,nan,71.71428571428571,0.0401407332320473,nan,nan,nan,nan
PSX,30583000000.0,30550000000.0,17877000000.0,Maybe,1.7345337287314664,3,12.341550500241045,Stagnant,1.4004550625711034,nan,222.28571428571428,0.12070436395909873,nan,nan,nan,nan
PNW,6177664000.0,3466317000.0,7540622000.0,No,-0.021673239119801308,3,0.47193749586147554,Distributing More,-0.08317112015572461,0.5516011345339061,63.14285714285714,0.04999999913694633,0.11793282174989624,95.00856707088182,52.40683338673913,1900.171374216634
PNC,51105000000.0,56290000000.0,72737000000.0,No,-0.07930400978563246,3,1.7343154269048053,Stagnant,-0.11933921959555675,nan,182.85714285714286,0.07083171669772155,nan,nan,nan,nan
POOL,1312787000.0,699990000.0,1015117000.0,Maybe,0.2169566530977293,3,3.605699481376672,Stagnant,0.09724729241877253,nan,192.1428571428571,0.0392334161152963,nan,nan,nan,nan
PPG,7832000000.0,21500000000.0,5748000000.0,Maybe,0.10383588385127447,3,0.7015830314367644,Stagnant,0.08325709057639527,nan,76.85714285714285,0.04304,nan,nan,nan,nan
PPL,13933000000.0,2710000000.0,14611000000.0,No,-1.186192152217387,3,1.4502930738302515,Stagnant,0.2884310618066561,nan,14.285714285714285,0.03098853380274481,nan,nan,nan,nan
PFG,10916000000.0,16683500000.0,3930900000.0,Maybe,0.5061024203981431,3,6.365298009520057,Stagnant,-0.11047282368537338,nan,36.857142857142854,0.03229844878205232,nan,nan,nan,nan
PG,49488000000.0,123811000000.0,25269000000.0,Maybe,0.05843666887064044,3,0.37076778446893155,Stagnant,0.10415512465373963,nan,nan,nan,nan,nan,nan,nan
PGR,19783200000.0,18800500000.0,6888600000.0,Yes,1.1165848365376971,3,3.049934425524589,Stagnant,-0.23220973782771537,nan,94.42857142857143,0.02643048541241684,nan,nan,nan,nan
PLD,53117776000.0,-627068000.0,28021188000.0,No,0.2714867381180077,3,0.8679681733796465,Stagnant,0.6124401913875597,nan,47.14285714285714,0.02588235294117647,nan,nan,nan,nan
PRU,27820000000.0,32352000000.0,20001000000.0,Maybe,-8.614177956988744,3,9.375246015329957,Stagnant,3.112254915812548,nan,96.63981428571428,0.057421162381702605,nan,nan,nan,nan
PEG,15477000000.0,12017000000.0,17784000000.0,No,-0.816564356351086,3,2.3996510162938276,Stagnant,1.1229508196721314,nan,73.28571428571428,0.06324744126984126,nan,nan,nan,nan
PTC,2677290000.0,973277000.0,1686410000.0,Maybe,0.6801040442029453,3,1.070802853003297,Stagnant,0.09447236180904522,nan,29.571428571428566,0.012249245119314082,nan,nan,nan,nan
PSA,5663178000.0,-267910000.0,9103277000.0,No,0.476984025074423,3,6.539844703813692,Stagnant,2.677777777777775,nan,158.7142857142857,0.03250914411119239,nan,nan,nan,nan
PHM,10383257000.0,7012724000.0,2461845000.0,Yes,0.3288232959245497,3,2.6904309599021485,Stagnant,0.19921521279806817,nan,168.4285714285714,0.09144497533361516,nan,nan,nan,nan
QRVO,3556372000.0,-89598000.0,1549272000.0,No,-0.7058413137551515,3,4.116268991300883,Stagnant,-0.441004403564151,nan,-10.285714285714285,-0.006687099584326599,nan,nan,nan,nan
PWR,6272241000.0,4858066000.0,3663504000.0,Maybe,0.19551414768806075,3,0.7838486779985024,Stagnant,0.14072494669509597,nan,73.28571428571428,0.02034745398759639,nan,nan,nan,nan
QCOM,21581000000.0,20733000000.0,14484000000.0,Maybe,0.24932522732554055,3,2.545063849886678,Stagnant,0.09833506763787718,nan,92.42857142857142,0.03975666573436225,nan,nan,nan,nan
DGX,6307000000.0,8825000000.0,4410000000.0,Maybe,-0.019818303394913122,3,3.2733239986289164,Stagnant,-0.09427504667081517,nan,108.42857142857142,0.049209023143716044,nan,nan,nan,nan
RL,2450300000.0,7051600000.0,1140500000.0,Maybe,-1.9196555586499235,3,4.519054104566575,Stagnant,0.7905354578403885,nan,141.57142857142856,0.05727330561124489,nan,nan,nan,nan
RJF,10135000000.0,10213000000.0,3139000000.0,Yes,0.30358559383612915,3,1.560198304703604,Stagnant,0.20172911631744073,nan,116.57142857142857,0.06939955666716803,nan,nan,nan,nan
RTX,59798000000.0,52154000000.0,42355000000.0,Maybe,-0.6620881834889617,3,2.3708700934467077,Stagnant,-1.8347195025365095,nan,32.0,0.018721270133168485,nan,nan,nan,nan
O,32941467000.0,-6762136000.0,20755747000.0,No,0.09200986361279458,3,0.20056171120131577,Stagnant,-0.016114791224822296,nan,18.0,0.02019878131493065,nan,nan,nan,nan
REG,6807687000.0,-1871603000.0,4001949000.0,No,2.345157746172077,3,0.9449871190049033,Stagnant,-0.6611900623848562,nan,29.142857142857142,0.027849829351535838,nan,nan,nan,nan
REGN,25973100000.0,27260300000.0,1982900000.0,Yes,0.26159799629622577,3,17.399152163359876,Stagnant,0.023578592094398866,nan,529.2857142857142,0.03221739130434782,nan,nan,nan,nan
RF,15770000000.0,8186000000.0,2330000000.0,Yes,0.42354706046857354,3,0.5692758558027908,Stagnant,0.2138613861386138,nan,30.14285714285714,0.09319788237117813,nan,nan,nan,nan
RSG,10542300000.0,8433900000.0,11887100000.0,No,0.22031909258695767,3,0.8949406404896361,Stagnant,0.24771573604060917,nan,78.14285714285714,NA,nan,nan,nan,NA
RMD,4864043000.0,4991647000.0,697313000.0,Yes,0.17926521157393385,3,1.073382504049698,Stagnant,0.14715447154471548,nan,nan,nan,nan,nan,nan,nan
RVTY,7872739000.0,5609212000.0,3177770000.0,Maybe,-0.010117769736008864,3,1.0449295160080176,Stagnant,-0.04104719061695702,nan,79.42857142857142,0.04747267648234631,nan,nan,nan,nan
ROK,3561600000.0,9255200000.0,2862900000.0,Maybe,0.17527623860116096,3,1.781576941528628,Stagnant,0.1439359190609776,nan,172.6480857142857,0.04643573943950658,nan,nan,nan,nan
ROL,1155567000.0,566402000.0,490776000.0,Maybe,0.1942091121150383,3,0.12845232578665128,Stagnant,0.3094554100542063,nan,12.714285714285714,0.017658729624105494,nan,nan,nan,nan
